title,type,price,private_owner,professional_name,floor_built,floor_area,floor,year_built,orientation,bedrooms,bathrooms,second_hand,lift,garage_included,furnished,terrace,balcony,storeroom,swimming_pool,garden_area,location,district,postalcode
Flat / apartment for rent in avenida de Concha Espina,Flat,2900,False,Diplomatic,177,,4th,1965.0,south,3,2,True,True,False,True,True,False,False,False,False,"Avenida de Concha Espina, Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,
 Terraced house for rent in calle Cabeza Grande,Terraced,2500,False,Gedaviv servicios inmobiliarios,215,140.0,215,,south,4,2,True,False,False,True,True,True,True,False,False,"Calle Cabeza Grande, Subdistrict Ciudad Jardín, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28002.0
Flat / apartment for rent in COCHABAMBA,Flat,1350,False,Modus Home Realtors,76,70.0,2nd,1963.0,east,2,1,True,True,False,True,False,False,False,False,False,"COCHABAMBA, Subdistrict Bernabéu-Hispanoamérica, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28036.0
Flat / apartment for rent in calle de Clara del Rey,Flat,1500,False,Jowner,90,,3rd,,east,2,1,True,True,False,True,False,False,False,False,False,"Calle de Clara del Rey, Subdistrict Prosperidad, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28002.0
Flat / apartment for rent in calle de Santa María Magdalena,Flat,3950,False,YÑARRA Servicios Inmobiliarios,223,,1st,2018.0,,4,5,True,True,True,True,True,False,False,True,False,"Calle de Santa María Magdalena, Subdistrict Nueva España, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28016.0
Flat / apartment for rent in Prosperidad,Flat,1300,False,Area Casa,82,81.0,1st,,,2,2,True,True,False,True,True,False,False,False,False,", Subdistrict Prosperidad, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,
 Terraced house for rent in valdelamasa,Terraced,2100,False,Estate One,90,,2,1940.0,south,2,2,True,False,False,True,True,False,False,False,False,"valdelamasa, Subdistrict Ciudad Jardín, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28002.0
Flat / apartment for rent in calle de Núñez Morgado,Flat,800,False,sh Madrid,45,41.0,6th,,north,1,1,True,True,False,False,False,False,False,False,False,"Calle de Núñez Morgado, Subdistrict Castilla, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28036.0
"Flat / apartment for rent in calle de Colombia, 26",Flat,1400,True,,105,95.0,6th,,west,2,2,True,True,False,True,False,False,False,False,False,"Calle de Colombia, 26, Subdistrict Bernabéu-Hispanoamérica, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28016.0
Flat / apartment for rent in Bernabéu-Hispanoamérica,Flat,2300,False,EMBASSY PROPERTIES,160,,8th,,south,3,2,True,True,False,True,False,False,False,False,False,", Subdistrict Bernabéu-Hispanoamérica, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28036.0
Flat / apartment for rent in Prosperidad,Flat,830,False,Area Casa,45,44.0,ground,,,1,1,True,True,False,True,False,False,False,False,False,", Subdistrict Prosperidad, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,
"Flat / apartment for rent in calle Antonio Pérez, 4",Flat,1300,False,Ginmo,69,65.0,1st,1975.0,west,1,1,True,True,False,True,False,False,False,False,False,"Calle Antonio Pérez, 4, Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28002.0
Flat / apartment for rent in calle Cardenal Silíceo,Flat,1200,False,Orbis Alia,90,75.0,1st,,,2,1,True,True,True,True,True,False,True,False,False,"Calle Cardenal Silíceo, Subdistrict Prosperidad, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28002.0
Flat / apartment for rent in calle de Ros de Olano,Flat,950,False,RENTA GARANTIZADA S.A,45,,7th,,,2,1,True,True,False,False,False,False,False,False,False,"Calle de Ros de Olano, Subdistrict Prosperidad, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28002.0
"Flat / apartment for rent in paseo de la Castellana, 122",Flat,4800,False,Ignacio Perez,278,250.0,3rd,1964.0,east,5,3,True,True,True,True,True,False,True,False,False,"Paseo de la Castellana, 122, Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28046.0
"Flat / apartment for rent in paseo de la Castellana, 298",Flat,945,False,RE/MAX Alma,65,,4th,1954.0,west,2,1,True,True,False,True,False,True,False,False,False,"Paseo de la Castellana, 298, Subdistrict Castilla, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28046.0
Duplex for rent in calle del Padre Damián,Duplex,1650,False,Home Action,136,,1st,,,2,2,True,True,False,True,False,False,True,False,False,"Calle del Padre Damián, Subdistrict Nueva España, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,
Flat / apartment for rent in avenida de Burgos,Flat,2500,False,Alberto Chaktoura / Agente Inmobiliario,220,185.0,2nd,1988.0,west,5,3,True,True,True,True,True,True,False,True,False,"Avenida de Burgos, Subdistrict Castilla, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,
Flat / apartment for rent in El Viso,Flat,2600,False,Svitlana Asesora,150,125.0,7th,1958.0,east,4,2,True,True,False,True,True,False,False,False,False,", Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,
"Flat / apartment for rent in calle General Gallegos, 3",Flat,2450,True,,94,75.0,8th,,east,2,2,True,True,False,True,False,False,False,False,False,"Calle General Gallegos, 3, Subdistrict Nueva España, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28036.0
Flat / apartment for rent in avenida de Burgos,Flat,1150,False,PUBLICASA MADRID,85,80.0,1st,,east,1,2,True,True,True,True,True,False,False,True,False,"Avenida de Burgos, Subdistrict Castilla, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,
