titulo,zona,latitud,longitud,direccion_usada,geocoding_ok
"Piso en calle de Valenzuela, Jerónimos, Madrid",retiro,40.41884,-3.6896835,"calle de Valenzuela, Jerónimos, Madrid, España",True
"Ático en calle de San Romualdo, Simancas, Madrid",san-blas,40.4391865,-3.6219475,"calle de San Romualdo, Simancas, Madrid, España",True
"Piso en calle de Cártama, Palomeras sureste, Madrid",puente-de-vallecas,40.384665,-3.639037,"calle de Cártama, Palomeras sureste, Madrid, España",True
"Piso en Pacífico, Madrid",retiro,40.4013961,-3.6748832,"Pacífico, Madrid, España",True
"Casa o chalet independiente en Conde Orgaz-Piovera, Madrid",hortaleza,40.4725491,-3.6425515,"hortaleza, Madrid, España",True
"Piso en calle del Bario, 18, Butarque, Madrid",villaverde,40.3480236,-3.6766236,"calle del Bario, 18, Butarque, Madrid, España",True
"Piso en calle de José del Pino Jiménez, Villaverde Alto, Madrid",villaverde,40.3456137,-3.7126785,"calle de José del Pino Jiménez, Villaverde Alto, Madrid, España",True
"Piso en calle de Fomento, Palacio, Madrid",centro,40.4210674,-3.7104243,"calle de Fomento, Palacio, Madrid, España",True
"Dúplex en Pau de Carabanchel, Madrid",carabanchel,40.3693417,-3.7623726,"Pau de Carabanchel, Madrid, España",True
"Piso en calle Besolla, Abrantes, Madrid",carabanchel,40.3753766,-3.7336702,"calle Besolla, Abrantes, Madrid, España",True
"Ático en El Viso, Madrid",chamartin,40.4448882,-3.6847127,"El Viso, Madrid, España",True
"Dúplex en calle Catamarán, Alameda de Osuna, Madrid",barajas,40.4513967,-3.5947664,"calle Catamarán, Alameda de Osuna, Madrid, España",True
"Piso en calle de Francisco Silvela, Lista, Madrid",barrio-de-salamanca,40.4351649,-3.6751701,"calle de Francisco Silvela, Lista, Madrid, España",True
"Estudio en calle de Berruguete, 67, Berruguete, Madrid",tetuan,40.4597401,-3.7052165,"calle de Berruguete, 67, Berruguete, Madrid, España",True
"Piso en calle Teniente Ochoa Olalla, 2, San Isidro, Madrid",carabanchel,40.3957715,-3.7330925,"calle Teniente Ochoa Olalla, 2, San Isidro, Madrid, España",True
"Piso en calle de la Cerrajería, Amposta, Madrid",san-blas,40.4251111,-3.624351,"Amposta, Madrid, España",True
"Piso en calle de Alcalá de Guadaíra, Palomeras Bajas, Madrid",puente-de-vallecas,40.3892459,-3.6573685,"calle de Alcalá de Guadaíra, Palomeras Bajas, Madrid, España",True
"Piso en calle del Pez, 12, Malasaña-Universidad, Madrid",centro,40.4233907,-3.7048002,"calle del Pez, 12, Malasaña-Universidad, Madrid, España",True
"Piso en calle de la Colegiata, Lavapiés-Embajadores, Madrid",centro,40.4127987,-3.7057835,"calle de la Colegiata, Lavapiés-Embajadores, Madrid, España",True
"Piso en calle Casa de Tilly, 33, El Cañaveral, Madrid",vicalvaro,40.4011587,-3.5486709,"calle Casa de Tilly, 33, El Cañaveral, Madrid, España",True
"Piso en Valdeacederas, Madrid",tetuan,40.4679108,-3.7034226,"Valdeacederas, Madrid, España",True
"Piso en Delicias, Madrid",arganzuela,40.3967843,-3.6900384,"Delicias, Madrid, España",True
"Piso en calle de Membezar, Entrevías, Madrid",puente-de-vallecas,40.378303,-3.6705955,"calle de Membezar, Entrevías, Madrid, España",True
"Dúplex en El Viso, Madrid",chamartin,40.4448882,-3.6847127,"El Viso, Madrid, España",True
"Piso en avenida de Filipinas, Vallehermoso, Madrid",chamberi,40.4400323,-3.7101862,"avenida de Filipinas, Vallehermoso, Madrid, España",True
"Piso en calle Virgen de la Monjia, 3, Concepción, Madrid",ciudad-lineal,40.4382057,-3.6495784,"Concepción, Madrid, España",True
"Piso en plaza de la República Argentina, 8, El Viso, Madrid",chamartin,40.4449812,-3.6846532,"plaza de la República Argentina, 8, El Viso, Madrid, España",True
"Piso en calle de Bretón de los Herreros, Nuevos Ministerios-Ríos Rosas, Madrid",chamberi,40.4394538,-3.696143,"calle de Bretón de los Herreros, Madrid, España",True
"Chalet adosado en Los Cármenes, Madrid",latina,40.4035317,-3.736152,"latina, Madrid, España",True
"Piso en calle del General Pardiñas, Goya, Madrid",barrio-de-salamanca,40.4268857,-3.6784898,"calle del General Pardiñas, Goya, Madrid, España",True
"Piso en calle de San Claudio, Palomeras sureste, Madrid",puente-de-vallecas,40.3889719,-3.6414007,"calle de San Claudio, Palomeras sureste, Madrid, España",True
"Dúplex en calle de Vergara, Palacio, Madrid",centro,40.4178472,-3.7102893,"calle de Vergara, Palacio, Madrid, España",True
"Piso en calle Ana Teresa, 1, Aravaca, Madrid",moncloa,40.460611,-3.7803395,"calle Ana Teresa, 1, Aravaca, Madrid, España",True
"Piso en calle Pico de los Artilleros, Vinateros, Madrid",moratalaz,40.4051965,-3.6415467,"Vinateros, Madrid, España",True
"Piso en calle Almendralejo, San Isidro, Madrid",carabanchel,40.3976973,-3.7346776,"calle Almendralejo, San Isidro, Madrid, España",True
"Ático en Costillares, Madrid",ciudad-lineal,40.4760473,-3.6685122,"Costillares, Madrid, España",True
"Piso en vereda de la Cebolla, s/n, El Cañaveral, Madrid",vicalvaro,40.4025252,-3.5550809,"El Cañaveral, Madrid, España",True
"Piso en calle de Ilustración, Argüelles, Madrid",moncloa,40.4212052,-3.7169799,"calle de Ilustración, Argüelles, Madrid, España",True
"Piso en calle de Mercedes Arteaga, s/n, Opañel, Madrid",carabanchel,40.3903949,-3.7221926,"Opañel, Madrid, España",True
"Piso en calle del General Díaz Porlier, Goya, Madrid",barrio-de-salamanca,40.4254305,-3.6771904,"calle del General Díaz Porlier, Goya, Madrid, España",True
"Piso en Nuevos Ministerios-Ríos Rosas, Madrid",chamberi,40.4458416,-3.6916991,"Nuevos Ministerios-Ríos Rosas, Madrid, España",True
"Dúplex en calle Cerro del Murmullo, Ensanche de Vallecas - La Gavia, Madrid",villa-de-vallecas,40.3648027,-3.5808506,"calle Cerro del Murmullo, Madrid, España",True
"Piso en paseo de Santa María de la Cabeza, Palos de la Frontera, Madrid",arganzuela,40.4025697,-3.6977956,"paseo de Santa María de la Cabeza, Palos de la Frontera, Madrid, España",True
"Piso en plaza de la Cruz Verde, Palacio, Madrid",centro,40.4140476,-3.7118112,"plaza de la Cruz Verde, Palacio, Madrid, España",True
"Casa o chalet independiente en calle de Amorebieta, El Plantío, Madrid",moncloa,40.4700616,-3.8206858,"El Plantío, Madrid, España",True
"Piso en Sainz De Baranda, 53, Niño Jesús, Madrid",retiro,40.4166603,-3.6729116,"Sainz De Baranda, 53, Niño Jesús, Madrid, España",True
"Piso en calle de Alcántara, Goya, Madrid",barrio-de-salamanca,40.4294965,-3.7238012,"calle de Alcántara, Madrid, España",True
"Piso en plaza de Ribadeo, 4, Pilar, Madrid",fuencarral,40.4770021,-3.7105082,"plaza de Ribadeo, 4, Pilar, Madrid, España",True
"Piso en calle del Mesón de Paredes, Lavapiés-Embajadores, Madrid",centro,40.4065559,-3.7018405,"calle del Mesón de Paredes, Lavapiés-Embajadores, Madrid, España",True
"Piso en Palomas, Madrid",hortaleza,40.4522376,-3.6141158,"Palomas, Madrid, España",True
"Dúplex en Valdemarín, Madrid",moncloa,40.4675501,-3.7822569,"Valdemarín, Madrid, España",True
"Piso en calle de Hermosilla, Fuente del Berro, Madrid",barrio-de-salamanca,40.425467,-3.6667823,"calle de Hermosilla, Fuente del Berro, Madrid, España",True
"Chalet adosado en Palomas, Madrid",hortaleza,40.4725491,-3.6425515,"hortaleza, Madrid, España",True
"Piso en calle Gandhi, Pueblo Nuevo, Madrid",ciudad-lineal,40.4246414,-3.633218,"calle Gandhi, Pueblo Nuevo, Madrid, España",True
"Piso en calle de Aguarón, 31, Valdemarín, Madrid",moncloa,40.4655937,-3.7924333,"calle de Aguarón, 31, Valdemarín, Madrid, España",True
"Piso en Chueca-Justicia, Madrid",centro,40.4182664,-3.6946869,"Chueca-Justicia, Madrid, España",True
"Piso en calle del Marqués de Santa Ana, Malasaña-Universidad, Madrid",centro,40.4246188,-3.7046369,"calle del Marqués de Santa Ana, Malasaña-Universidad, Madrid, España",True
"Piso en calle del Príncipe de Vergara, 71, Castellana, Madrid",barrio-de-salamanca,40.4346341,-3.679569,"calle del Príncipe de Vergara, 71, Castellana, Madrid, España",True
"Piso en calle del Gorrión, San Isidro, Madrid",carabanchel,40.3961913,-3.7288224,"calle del Gorrión, San Isidro, Madrid, España",True
